	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	
32k	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	
16k	0	0	0	0	0	0	1	1	1	1	1	2	2	2	3	3	
8k	0	0	0	1	1	2	2	3	4	5	7	8	9	10	12	13	
4k	0	1	1	3	5	7	8	9	16	21	26	30	36	45	49	55	
2k	0	2	6	12	18	28	38	47	60	79	89	104	118	160	208	200	
1k	1	9	23	43	68	109	169	205	258	324	292	394	361	477	467	466	
0k	5	32	92	161	235	415	503	439	720	624	576	1015	960	864	785	800	
0k	16	126	312	470	672	1062	912	816	1286	918	1029	943	923	831	738	600	
0k	76	379	612	864	1200	1015	771	738	933	720	720	667	600	480	480	436	
0k	323	969	1029	635	933	667	480	533	360	360	400	267	218	240	240	267	
0k	753	923	800	533	400	267	267	240	133	150	133	133	133	109	120	120	
0k	1371	600	514	240	133	133	133	133	0	0	0	0	0	0	0	0	
0k	960	240	133	150	0	0	0	0	0	0	0	0	0	0	0	0	
0k	600	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0k	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

